"LeagueNameLong","Position","Club","Points","MatchPlayed","Win","Draw","Lost","GoalScored","Conceded","GoalDiff.","LeagueNameShort","LeagueSeason"
"English Premier League","1","Manchester City",82,34,26,4,4,89,31,58,"EPL","2022/23"
"English Premier League","2","Arsenal",81,35,25,6,4,83,39,44,"EPL","2022/23"
"English Premier League","3","Newcastle United",66,35,18,12,5,63,31,32,"EPL","2022/23"
"English Premier League","4","Manchester United",66,35,20,6,9,51,41,10,"EPL","2022/23"
"English Premier League","5","Liverpool",62,35,18,8,9,67,42,25,"EPL","2022/23"
"English Premier League","6","Tottenham Hotspur",57,36,17,6,13,65,59,6,"EPL","2022/23"
"English Premier League","7","Aston Villa",57,36,17,6,13,48,44,4,"EPL","2022/23"
"English Premier League","8","Brighton & Hove Albion",55,33,16,7,10,63,45,18,"EPL","2022/23"
"English Premier League","9","Fulham",51,36,15,6,15,52,49,3,"EPL","2022/23"
"English Premier League","10","Brentford",50,35,12,14,9,52,45,7,"EPL","2022/23"
"English Premier League","11","Chelsea",43,35,11,10,14,36,41,-5,"EPL","2022/23"
"English Premier League","12","Crystal Palace",43,36,11,10,15,37,46,-9,"EPL","2022/23"
"English Premier League","13","Wolverhampton Wanderers",40,36,11,7,18,30,52,-22,"EPL","2022/23"
"English Premier League","14","AFC Bournemouth",39,36,11,6,19,37,69,-32,"EPL","2022/23"
"English Premier League","15","West Ham United",37,35,10,7,18,38,50,-12,"EPL","2022/23"
"English Premier League","16","Nottingham Forest",34,36,8,10,18,36,67,-31,"EPL","2022/23"
"English Premier League","17","Everton",32,35,7,11,17,32,53,-21,"EPL","2022/23"
"English Premier League","18","Leeds United",31,36,7,10,19,46,71,-25,"EPL","2022/23"
"English Premier League","19","Leicester City",30,35,8,6,21,49,64,-15,"EPL","2022/23"
"English Premier League","20","Southampton",24,36,6,6,24,31,66,-35,"EPL","2022/23"
"Spanish La Liga","1","Barcelona",82,33,26,4,3,60,11,49,"La Liga","2022/23"
"Spanish La Liga","2","Real Madrid",71,34,22,5,7,70,32,38,"La Liga","2022/23"
"Spanish La Liga","3","Atletico Madrid",69,33,21,6,6,60,26,34,"La Liga","2022/23"
"Spanish La Liga","4","Real Sociedad",62,34,18,8,8,45,31,14,"La Liga","2022/23"
"Spanish La Liga","5","Villarreal",57,34,17,6,11,52,35,17,"La Liga","2022/23"
"Spanish La Liga","6","Real Betis",52,33,15,7,11,40,37,3,"La Liga","2022/23"
"Spanish La Liga","7","Girona",48,34,13,9,12,54,48,6,"La Liga","2022/23"
"Spanish La Liga","8","Athletic Club",47,34,13,8,13,44,38,6,"La Liga","2022/23"
"Spanish La Liga","9","Osasuna",47,34,13,8,13,32,36,-4,"La Liga","2022/23"
"Spanish La Liga","10","Rayo Vallecano",46,33,12,10,11,40,42,-2,"La Liga","2022/23"
"Spanish La Liga","11","Sevilla",44,33,12,8,13,41,49,-8,"La Liga","2022/23"
"Spanish La Liga","12","Mallorca",44,34,12,8,14,33,37,-4,"La Liga","2022/23"
"Spanish La Liga","13","Celta Vigo",39,33,10,9,14,38,46,-8,"La Liga","2022/23"
"Spanish La Liga","14","Almería",36,34,10,6,18,43,61,-18,"La Liga","2022/23"
"Spanish La Liga","15","Cádiz",35,34,8,11,15,26,50,-24,"La Liga","2022/23"
"Spanish La Liga","16","Real Valladolid",35,33,10,5,18,30,57,-27,"La Liga","2022/23"
"Spanish La Liga","17","Valencia",34,33,9,7,17,36,40,-4,"La Liga","2022/23"
"Spanish La Liga","18","Getafe",34,34,8,10,16,30,43,-13,"La Liga","2022/23"
"Spanish La Liga","19","Espanyol",31,33,7,10,16,40,56,-16,"La Liga","2022/23"
"Spanish La Liga","20","Elche",16,33,3,7,23,25,64,-39,"La Liga","2022/23"
"Italian Serie-A","1","Napoli",83,34,26,5,3,70,23,47,"Serie-A","2022/23"
"Italian Serie-A","2","Juventus",66,34,20,6,8,52,28,24,"Serie-A","2022/23"
"Italian Serie-A","3","Internazionale",66,35,21,3,11,66,37,29,"Serie-A","2022/23"
"Italian Serie-A","4","Lazio",65,35,19,8,8,54,28,26,"Serie-A","2022/23"
"Italian Serie-A","5","AC Milan",61,35,17,10,8,55,41,14,"Serie-A","2022/23"
"Italian Serie-A","6","AS Roma",58,34,17,7,10,45,33,12,"Serie-A","2022/23"
"Italian Serie-A","7","Atalanta",58,35,17,7,11,56,42,14,"Serie-A","2022/23"
"Italian Serie-A","8","Fiorentina",46,34,12,10,12,45,40,5,"Serie-A","2022/23"
"Italian Serie-A","9","Udinese",46,34,11,13,10,45,41,4,"Serie-A","2022/23"
"Italian Serie-A","10","Bologna",46,34,12,10,12,43,44,-1,"Serie-A","2022/23"
"Italian Serie-A","11","Monza",46,34,12,10,12,42,45,-3,"Serie-A","2022/23"
"Italian Serie-A","12","Torino",46,34,12,10,12,36,39,-3,"Serie-A","2022/23"
"Italian Serie-A","13","Sassuolo",44,35,12,8,15,43,54,-11,"Serie-A","2022/23"
"Italian Serie-A","14","Empoli",38,34,9,11,14,31,44,-13,"Serie-A","2022/23"
"Italian Serie-A","15","Salernitana",38,35,8,14,13,43,56,-13,"Serie-A","2022/23"
"Italian Serie-A","16","Lecce",32,35,7,11,17,30,43,-13,"Serie-A","2022/23"
"Italian Serie-A","17","Hellas Verona",30,34,7,9,18,28,51,-23,"Serie-A","2022/23"
"Italian Serie-A","18","Spezia",30,35,6,12,17,30,56,-26,"Serie-A","2022/23"
"Italian Serie-A","19","Cremonese",24,34,4,12,18,31,59,-28,"Serie-A","2022/23"
"Italian Serie-A","20","Sampdoria",17,34,3,8,23,20,61,-41,"Serie-A","2022/23"
"German Bundesliga","1","Bayern Munich",68,32,20,8,4,89,34,55,"Bundesliga","2022/23"
"German Bundesliga","2","Borussia Dortmund",67,32,21,4,7,78,42,36,"Bundesliga","2022/23"
"German Bundesliga","3","1. FC Union Berlin",59,32,17,8,7,48,34,14,"Bundesliga","2022/23"
"German Bundesliga","4","RB Leipzig",57,31,17,6,8,55,37,18,"Bundesliga","2022/23"
"German Bundesliga","5","SC Freiburg",56,32,16,8,8,48,42,6,"Bundesliga","2022/23"
"German Bundesliga","6","VfL Wolfsburg",49,32,13,10,9,56,44,12,"Bundesliga","2022/23"
"German Bundesliga","7","Bayer Leverkusen",48,31,14,6,11,54,43,11,"Bundesliga","2022/23"
"German Bundesliga","8","Eintracht Frankfurt",46,32,12,10,10,54,49,5,"Bundesliga","2022/23"
"German Bundesliga","9","Mainz",45,32,12,9,11,51,49,2,"Bundesliga","2022/23"
"German Bundesliga","10","FC Cologne",41,32,10,11,11,47,51,-4,"Bundesliga","2022/23"
"German Bundesliga","11","Borussia Monchengladbach",39,32,10,9,13,48,53,-5,"Bundesliga","2022/23"
"German Bundesliga","12","Werder Bremen",35,31,10,5,16,49,60,-11,"Bundesliga","2022/23"
"German Bundesliga","13","FC Augsburg",34,32,9,7,16,42,58,-16,"Bundesliga","2022/23"
"German Bundesliga","14","TSG Hoffenheim",32,32,9,5,18,43,54,-11,"Bundesliga","2022/23"
"German Bundesliga","15","VfL Bochum",31,32,9,4,19,36,71,-35,"Bundesliga","2022/23"
"German Bundesliga","16","Schalke 04",30,32,7,9,16,31,65,-34,"Bundesliga","2022/23"
"German Bundesliga","17","VfB Stuttgart",28,31,6,10,15,39,54,-15,"Bundesliga","2022/23"
"German Bundesliga","18","Hertha Berlin",25,32,6,7,19,39,67,-28,"Bundesliga","2022/23"
"Dutch Eredivisie","1","Feyenoord Rotterdam",76,31,23,7,1,75,28,47,"Eredivisie","2022/23"
"Dutch Eredivisie","2","PSV Eindhoven",68,31,21,5,5,82,35,47,"Eredivisie","2022/23"
"Dutch Eredivisie","3","Ajax Amsterdam",63,31,18,9,4,79,32,47,"Eredivisie","2022/23"
"Dutch Eredivisie","4","AZ Alkmaar",61,31,18,7,6,59,32,27,"Eredivisie","2022/23"
"Dutch Eredivisie","5","FC Twente",58,32,16,10,6,58,26,32,"Eredivisie","2022/23"
"Dutch Eredivisie","6","Sparta Rotterdam",53,32,15,8,9,51,36,15,"Eredivisie","2022/23"
"Dutch Eredivisie","7","FC Utrecht",51,32,14,9,9,51,45,6,"Eredivisie","2022/23"
"Dutch Eredivisie","8","Heerenveen",42,32,11,9,12,39,47,-8,"Eredivisie","2022/23"
"Dutch Eredivisie","9","RKC Waalwijk",41,32,11,8,13,50,55,-5,"Eredivisie","2022/23"
"Dutch Eredivisie","10","NEC Nijmegen",38,32,8,14,10,41,41,0,"Eredivisie","2022/23"
"Dutch Eredivisie","11","Go Ahead Eagles",37,31,9,10,12,43,51,-8,"Eredivisie","2022/23"
"Dutch Eredivisie","12","Fortuna Sittard",35,31,10,5,16,37,56,-19,"Eredivisie","2022/23"
"Dutch Eredivisie","13","FC Volendam",33,32,9,6,17,39,66,-27,"Eredivisie","2022/23"
"Dutch Eredivisie","14","Vitesse",31,31,7,10,14,36,50,-14,"Eredivisie","2022/23"
"Dutch Eredivisie","15","Excelsior",29,32,8,5,19,27,68,-41,"Eredivisie","2022/23"
"Dutch Eredivisie","16","FC Emmen",28,31,6,10,15,29,54,-25,"Eredivisie","2022/23"
"Dutch Eredivisie","17","FC Groningen",18,31,4,6,21,29,61,-32,"Eredivisie","2022/23"
"Dutch Eredivisie","18","SC Cambuur",16,31,4,4,23,21,63,-42,"Eredivisie","2022/23"
"French Ligue 1","1","Paris Saint-Germain",81,35,26,3,6,84,35,49,"Ligue-1","2022/23"
"French Ligue 1","2","Lens",75,35,22,9,4,59,27,32,"Ligue-1","2022/23"
"French Ligue 1","3","Marseille",70,34,21,7,6,62,34,28,"Ligue-1","2022/23"
"French Ligue 1","4","AS Monaco",64,34,19,7,8,68,51,17,"Ligue-1","2022/23"
"French Ligue 1","5","Lille",59,34,17,8,9,60,41,19,"Ligue-1","2022/23"
"French Ligue 1","6","Stade Rennais",56,34,17,5,12,56,38,18,"Ligue-1","2022/23"
"French Ligue 1","7","Lyon",56,34,16,8,10,57,41,16,"Ligue-1","2022/23"
"French Ligue 1","8","Nice",51,35,13,12,10,42,34,8,"Ligue-1","2022/23"
"French Ligue 1","9","Lorient",51,34,14,9,11,48,46,2,"Ligue-1","2022/23"
"French Ligue 1","10","Stade de Reims",50,35,12,14,9,42,37,5,"Ligue-1","2022/23"
"French Ligue 1","11","Clermont Foot",50,34,14,8,12,37,44,-7,"Ligue-1","2022/23"
"French Ligue 1","12","Montpellier",43,34,13,4,17,56,57,-1,"Ligue-1","2022/23"
"French Ligue 1","13","Toulouse",42,34,12,6,16,48,55,-7,"Ligue-1","2022/23"
"French Ligue 1","14","Strasbourg",38,35,9,11,15,48,55,-7,"Ligue-1","2022/23"
"French Ligue 1","15","Brest",35,34,8,11,15,38,50,-12,"Ligue-1","2022/23"
"French Ligue 1","16","AJ Auxerre",34,34,8,10,16,32,56,-24,"Ligue-1","2022/23"
"French Ligue 1","17","Nantes",32,34,6,14,14,35,50,-15,"Ligue-1","2022/23"
"French Ligue 1","18","AC Ajaccio",23,35,6,5,24,22,66,-44,"Ligue-1","2022/23"
"French Ligue 1","19","Troyes",22,34,4,10,20,42,73,-31,"Ligue-1","2022/23"
"French Ligue 1","20","Angers",14,34,3,5,26,28,74,-46,"Ligue-1","2022/23"
"Portuguese Primeira Liga","1","Benfica",83,32,27,2,3,77,18,59,"Primeira Liga","2022/23"
"Portuguese Primeira Liga","2","FC Porto",76,31,24,4,3,64,19,45,"Primeira Liga","2022/23"
"Portuguese Primeira Liga","3","Braga",71,31,23,2,6,66,26,40,"Primeira Liga","2022/23"
"Portuguese Primeira Liga","4","Sporting CP",70,32,22,4,6,67,29,38,"Primeira Liga","2022/23"
"Portuguese Primeira Liga","5","Arouca",48,31,13,9,9,33,35,-2,"Primeira Liga","2022/23"
"Portuguese Primeira Liga","6","Guimaraes",47,31,14,5,12,32,36,-4,"Primeira Liga","2022/23"
"Portuguese Primeira Liga","7","GD Chaves",46,32,12,10,10,34,35,-1,"Primeira Liga","2022/23"
"Portuguese Primeira Liga","8","FC Famalicao",43,32,13,4,15,35,41,-6,"Primeira Liga","2022/23"
"Portuguese Primeira Liga","9","Vizela",40,32,11,7,14,33,35,-2,"Primeira Liga","2022/23"
"Portuguese Primeira Liga","10","Casa Pia",40,31,11,7,13,28,35,-7,"Primeira Liga","2022/23"
"Portuguese Primeira Liga","11","Boavista",40,32,11,7,14,38,52,-14,"Primeira Liga","2022/23"
"Portuguese Primeira Liga","12","Rio Ave",39,31,10,9,12,33,37,-4,"Primeira Liga","2022/23"
"Portuguese Primeira Liga","13","Portimonense",34,32,10,4,18,25,45,-20,"Primeira Liga","2022/23"
"Portuguese Primeira Liga","14","Gil Vicente",34,32,9,7,16,31,40,-9,"Primeira Liga","2022/23"
"Portuguese Primeira Liga","15","Estoril",28,31,8,4,19,26,46,-20,"Primeira Liga","2022/23"
"Portuguese Primeira Liga","16","Maritimo",23,32,6,5,21,30,60,-30,"Primeira Liga","2022/23"
"Portuguese Primeira Liga","17","Paços de Ferreira",20,32,5,5,22,23,58,-35,"Primeira Liga","2022/23"
"Portuguese Primeira Liga","18","Santa Clara",19,31,4,7,20,22,50,-28,"Primeira Liga","2022/23"
